plan,plan2,state,2020_return,arr,mva_billions,mva_billions_19,source
Alabama Employees' Retirement System (ERS),Alabama Employees' Retirement System (ERS),Alabama,0.0583,0.077,13.150538,12.568473,https://www.rsa-al.gov/uploads/files/2020_RSA_CAFR.pdf
Alabama Teachers' Retirement System (TRS),Alabama Teachers' Retirement System (TRS),Alabama,0.0562,0.077,25.946389,25.619448,https://www.rsa-al.gov/uploads/files/2020_RSA_CAFR.pdf
Alaska Public Employees Retirement System (PERS),Alaska Public Employees Retirement System,Alaska,0.038,0.074,9.345,9.489,https://treasury.dor.alaska.gov/Portals/3/docs/Investment%20Results/Investment%20Performance%2006.30.20.pdf
Alaska Teachers Retirement System (TRS),Alaska Teachers Retirement System,Alaska,0.038,0.074,5.376,5.512,https://treasury.dor.alaska.gov/Portals/3/docs/Investment%20Results/Investment%20Performance%2006.30.20.pdf
Arizona Corrections Officers Retirement Plan (CORP),Arizona Corrections Officers Retirement Plan,Arizona,0.026,0.073,2.070559462,1.996273344,https://www.psprs.com/uploads/sites/1/2020_Valuation_Report_CORP_consolidated_FINAL.PDF
Arizona Public Safety Personnel Retirement System (PSPRS)*,Arizona Public Safety Personnel Retirement System,Arizona,0.009,0.073,10.7,7.83,https://www.psprs.com/article/psprs-generates-182-million-in-returns-for-fy20
Arizona State Retirement System (ASRS),Arizona State Retirement System,Arizona,0.008,0.075,42.192,41.557,https://www.azasrs.gov/sites/default/files/2020_ASRS_CAFR_Web.pdf
Arkansas Public Employees System (APERS),Arkansas Public Employees System,Arkansas,0.02,0.075,9,8.738714746,https://www.apers.org/images/PDFs/AnnualReport-Archives/APERS_2020_actuarial_report.pdf
Arkansas Teachers Retirement Plan (ATRS),Arkansas Teachers Retirement Plan,Arkansas,-0.014,0.075,16.665,17.742,https://www.artrs.gov/BoardMinutes/Minutes2020/09_28_2020_BOT_Packet.pdf
California State Teachers Retirement System (CalSTRS),California State Teachers Retirement System,California,0.039,0.07,246,238.86,https://www.calstrs.com/news-release/calstrs-returns-39-2019-20-amid-volatile-markets
CalPERS - California Public Employees Retirement Fund (CalPERS),CalPERS - California Public Employees Retirement Fund,California,0.047,0.07,392.452541,372.61,https://www.calpers.ca.gov/docs/forms-publications/cafr-2020.pdf
"Colorado PERA, Local Division Fund*","Colorado PERA, Local Division Fund",Colorado,0.1708,0.0725,5.194637544,4.592961665,https://www.copera.org/sites/default/files/documents/2020valuation.pdf
"Colorado PERA, School Division Fund (PERA)*","Colorado PERA, School Division Fund",Colorado,0.1708,0.0725,30.6741848,27.17139693,https://www.copera.org/sites/default/files/documents/2020valuation.pdf
"Colorado PERA, State Division Fund (PERA)*","Colorado PERA, State Division Fund",Colorado,0.1708,0.0725,17.87994676,15.99286277,https://www.copera.org/sites/default/files/documents/2020valuation.pdf
Connecticut Municipal Employees Retirement Plan,Connecticut Municipal Employees Retirement Plan,Connecticut,0.0234,0.07,2.734354911,2.731182007,https://www.osc.ct.gov/rbsd/reports/pdfs/FINAL%2001-18-21%20CMERS%202020%20Valuation%20Report%20-%20with%20Schedule%20H.pdf
Connecticut State Employees Retirement System (SERS),Connecticut State Employees Retirement System,Connecticut,0.0226,0.069,13.31110993,13.2756926,https://www.osc.ct.gov/rbsd/reports/pdfs/CT%20SERS%206-30-2020%20Valuation%20Report%20REVISED%20Final.pdf
Connecticut Teachers Retirement System (TRS),Connecticut Teachers Retirement System,Connecticut,0.023,0.069,18.286419,18.493455,http://ctstatefinance.org/resources/uploads/files/2020-TRS-Actuarial-Valuation.pdf
Delaware State Employees’ Pension Plan (PERS),Delaware State Employees’ Pension Plan,Delaware,0.1,0.07,9.639,9.117,https://open.omb.delaware.gov/FinancialReports/financials/fy-20-CAFR-FINAL.pdf
Employee Retirement System of Hawaii (ERS),Employee Retirement System of Hawaii,Hawaii,0.021,0.07,17.385,17.227,https://ers.ehawaii.gov/wp-content/uploads/2021/03/Hawaii-Val_2020_Final-R1.pdf
